NAME,FOUNDED_AT
GOGUIDE,1/1/2012
GOLDBELY,1/1/2013
GOOD EGGS,7/1/2011
GOOD PEOPLE,1/1/2009
GOOD.CO,1/1/2012
GOODDATA,5/1/2007
GOODDLER,12/1/2013
GOODPEOPLE,11/1/2009
GOPLANIT,8/1/2007
GOTGAME,3/1/2006
GOTTAPARK,2/1/2007
GRAND ROUNDS,1/1/2011
GRANDATA,6/26/2012
GRANULAR,2/20/2014
GREENHOUSE APPS,9/1/2013
GREENLOTS,9/1/2008
GREENTOE,4/9/2012
GRIDDIG,1/1/2014
GROOPT,3/17/2010
GROUNDWORK,1/1/2004
GUIDE FINANCIAL,12/1/2012
GUITAR PARTY,10/1/2008
GUMROAD,1/1/2011
HABITRPG,2/1/2012
HACTUS,6/1/2011
HALO NEUROSCIENCE,1/1/2013
HAMMER & CHISEL,5/1/2012
HAMPTON CREEK,12/1/2011
HANDLE,5/24/2011
HANDUP,6/1/2013
HANGO,3/1/2014
HANGTIME,5/1/2012
HANZO ARCHIVES,1/1/2005
HAPPY INSPECTOR,10/1/2011
HAPTIK,8/1/2013
"HEALTH ACCESS SOLUTIONS, INC.",1/1/2000
HEALTHIEST YOU,1/1/2010
HEALTHLINE NETWORKS,1/1/2002
HEAP,1/1/2013
HEARNOTES,1/1/2014
HEARSAY SOCIAL,1/1/2009
"HEIRLOOM TECHNOLOGY, INC.",5/5/2014
HELIUM,7/1/2013
HELLO INC,1/1/2012
HELLO MOBILE INC.,1/1/2012
HELPMENOW,11/1/2013
"HELPSHIFT, INC.",1/1/2011
HEYDAY,2/1/2012
HEYLETS,1/1/2011
HEYZAP,1/1/2009
HIDDEN RADIO,1/1/2011
HIGGLE,12/1/2011
HIGH FIDELITY,4/1/2013
HIGHLIGHT,10/1/2011
HINT INC,1/1/2005
HIPCAMP,1/1/2013
HIPMUNK,1/1/2010
HIRED,5/1/2012
HOMEJOY,7/1/2012
HOMELIGHT,1/1/2011
HONEYBOOK INC.,5/1/2013
HOOKED MEDIA GROUP,1/1/2008
HOP.IN,3/7/2013
HORNET NETWORKS,1/1/2011
HOTELTONIGHT,12/1/2010
HUBPAGES,8/5/2006
HUBSKIP,9/1/2012
HUDDLE,11/1/2006
HUMBLE BUNDLE,3/1/2010
HYDRONOVATION,1/1/2005
HYPEMARKS,10/31/2011
HYPERFAIR,1/1/2010
IDIBON,1/1/2012
IDLE GAMING,11/1/2009
IDONETHIS,1/1/2011
IF(WE),10/1/2004
IFONLY,1/1/2012
IFTTT,12/14/2010
IGIGI,1/1/2000
IGNITE GAME TECHNOLOGIES,3/1/2008
IMANAGERENT,1/1/2010
IMGIX,5/4/2011
IMGUR,2/1/2009
IMMEDIATELY,1/1/2013
IMOJI,1/1/2014
IMOSPHERE,1/1/2012
IN3DGALLERY,1/10/2013
INBOT,1/1/2013
INDEX,3/1/2012
INDIEGOGO,1/14/2008
INDINERO,1/1/2009
INDUCTLY,1/1/2014
INFECTIOUS,1/1/2007
INFOSCOUT,10/1/2011
INKLING SYSTEMS,8/1/2009
INKSHARES,4/1/2013
INMOBI,1/1/2007
INNERWORKINGS,11/1/2002
INNOTAS,1/1/2000
INPRONTO,1/1/2008
INSIDE WAREHOUSE,1/1/2013
INSIDETRACK,1/1/2001
INSIDEVIEW,1/1/2005
INSIGHTLY,1/1/2009
"INSIKT, INC.",11/1/2012
INSTACART,7/1/2012
INSTAPAGE,6/1/2011
INTERCOM,8/1/2011
INVINO,3/1/2009
INVITAE,1/1/2012
INVUITY,1/1/2004
IODINE,1/1/2013
IOTERA,1/1/2009
IPLING,1/1/2007
IRHYTHM TECHNOLOGIES,1/1/2006
IRON.IO,7/7/2011
ISHBOWL,1/1/2012
ISOCCER,1/1/2010
ISOLATION NETWORK,1/1/2009
ITEMBASE,11/2/2011
JAGUAR ANIMAL HEALTH,6/1/2013
JETME,11/1/2013
JIXEE,1/1/2011
JOBR,2/15/2014
JOBSCOUT,12/1/2011
JOYENT,1/1/2004
JOYUS,1/1/2011
JUDICATA,1/23/2012
JULY SYSTEMS,7/18/2001
JUMPCAM,1/1/2012
JUNGLECENTS,4/1/2009
JUSTANSWER.COM,1/1/2003
JUSTIN.TV,10/1/2006
JUSTINMIND,1/1/2007
JUSTONE DATABASE INC.,4/28/2010
JUT INC,1/1/2013
KABAM,11/1/2006
KAGGLE,4/1/2010
KAIZEN PLATFORM,3/18/2013
KALIBRR,1/1/2012
KAMCORD,4/1/2012
KANDID,11/19/2014
KANJOYA,1/1/2006
KEAS,1/1/2008
KEEN IO,12/1/2011
KEEPSAFE,1/1/2012
KEEPTRUCKIN,1/1/2013
KEYCHAIN LOGISTICS,1/1/2012
KIDADMIT,7/1/2012
KIDLANDIA,1/1/2008
KIIP,7/13/2010
KINDRED BIOSCIENCES,1/1/2012
KINSIGHTS,6/1/2011
KISSMETRICS,5/1/2008
KITCHIT,10/1/2011
KIVA,3/1/2005
KIXEYE,1/1/2007
KLICKEX,1/1/2002
KNEOWORLD,8/1/2012
KNOTCH,2/15/2012
KODING,7/18/2011
KOUT,1/1/2011
KRUX,12/1/2009
KULI KULI,9/1/2011
KVANTUM,1/1/2012
KWARTER,4/4/2011
KYNDED,8/1/2012
LABDOOR,5/1/2012
LACOON MOBILE SECURITY,1/1/2011
LANGO,1/1/2006
LANTERN,1/1/2012
LATERAL SV,4/1/2013
